Task_ID,Model,Layer,Compute,Self CPU (us),CPU Total (us),CUDA Total (us),Self CPU Mem (bytes),Self CUDA Mem (bytes),Total Execution Time (us),Total Memory Used (bytes),FLOPs,Memory Accessed (bytes)
mlp_task_1,CustomMLP,forward_pass,W0,3929.0,10048.0,0.0,-794624,0,10048.0,-794624,6291456.0,536576.0
mlp_task_1,CustomMLP,ProfilerStep*,W0,3147.0,6600.0,0.0,-794624,0,6600.0,-794624,0.0,0.0
mlp_task_1,CustomMLP,net_0,W0,434.0,1771.0,0.0,0,0,1771.0,0,4194304.0,139264.0
mlp_task_1,CustomMLP,net_1,W0,168.0,671.0,0.0,0,0,671.0,0,0.0,262144.0
mlp_task_1,CustomMLP,net_2,W0,180.0,1006.0,0.0,0,0,1006.0,0,2097152.0,135168.0
mlp_task_1,CustomMLP,forward_pass,W1,2187.0,5996.0,0.0,-798720,0,5996.0,-798720,6291456.0,536576.0
mlp_task_1,CustomMLP,ProfilerStep*,W1,1621.0,3811.0,0.0,-798720,0,3811.0,-798720,0.0,0.0
mlp_task_1,CustomMLP,net_0,W1,221.0,1112.0,0.0,0,0,1112.0,0,4194304.0,139264.0
mlp_task_1,CustomMLP,net_1,W1,178.0,386.0,0.0,0,0,386.0,0,0.0,262144.0
mlp_task_1,CustomMLP,net_2,W1,167.0,687.0,0.0,0,0,687.0,0,2097152.0,135168.0
mlp_task_2,CustomMLP,forward_pass,W0,1710.0,4234.0,0.0,-794624,0,4234.0,-794624,6291456.0,536576.0
mlp_task_2,CustomMLP,ProfilerStep*,W0,1281.0,2758.0,0.0,-794624,0,2758.0,-794624,0.0,0.0
mlp_task_2,CustomMLP,net_0,W0,160.0,646.0,0.0,0,0,646.0,0,4194304.0,139264.0
mlp_task_2,CustomMLP,net_1,W0,130.0,298.0,0.0,0,0,298.0,0,0.0,262144.0
mlp_task_2,CustomMLP,net_2,W0,139.0,532.0,0.0,0,0,532.0,0,2097152.0,135168.0
mlp_task_2,CustomMLP,forward_pass,W0,1710.0,4234.0,0.0,-794624,0,4234.0,-794624,6291456.0,536576.0
mlp_task_2,CustomMLP,ProfilerStep*,W0,1281.0,2758.0,0.0,-794624,0,2758.0,-794624,0.0,0.0
mlp_task_2,CustomMLP,net_0,W0,160.0,646.0,0.0,0,0,646.0,0,4194304.0,139264.0
mlp_task_2,CustomMLP,net_1,W0,130.0,298.0,0.0,0,0,298.0,0,0.0,262144.0
